panel	category	subgroup	value
A	PRJNA316597	GC	1
A	PRJNA342928	NAG	0
A	PRJNA342928	AG	0
A	PRJNA342928	IM	0
A	PRJNA342928	DYS	0
A	PRJNA342928	GC	1
A	PRJNA344000	NAG	0
A	PRJNA344000	AG	0
A	PRJNA344000	IM	0
A	PRJNA344000	DYS	0
A	PRJNA344000	GC	1
A	PRJNA494865	NAG	0
A	PRJNA494865	AG	0
A	PRJNA494865	IM	0
A	PRJNA494865	DYS	0
A	PRJNA494865	GC	1
A	PRJNA807891	NAG	0
A	PRJNA807891	AG	0
A	PRJNA807891	IM	0
A	PRJNA807891	DYS	0
A	PRJNA807891	GC	1
B	UNKNOWN	all	504
B	ILLUMINA_SHORT	all	218
B	ILLUMINA_SHORT;ONT_LONG	all	39
B	PACBIO_LONG	all	23
B	ONT_LONG	all	9
B	single_country_studies	all	41
B	multicountry_studies	all	4
C	PRJNA360417_primary_pass	4/261	4
C	PRJNA678459_primary_pass	6/261	6
C	PRJNA678459_provisional_pass	1/39	1
C	PRJNA1103397_primary_pass	0/261	0
D	PRJNA360417_diagnostic_p	diagnostic_only	0.770563
D	PRJNA678459_diagnostic_p	diagnostic_only	0.142857
E	PRJNA678459_structure_R2	SCREENING_STRUCTURE_ONLY	0.1161
E	PRJNA678459_structure_p	SCREENING_STRUCTURE_ONLY	0.031746
