bioproject	n_correa_biosamples	stage_counts	countries	platform_classes	verification_status_counts	patient_mapping_status_counts	n_distinct_patients_confirmed	public_reads_status_counts	biopsy_site_counts	has_structure_coordinates
PRJNA513874	7	GC:7	Mexico	UNKNOWN	SOURCE_VERIFIED_PARTIAL:7	NONE:7	0	ASSEMBLY_ONLY:7	GASTRIC_UNSPECIFIED:7	NO
PRJNA521871	19	AG:9;IM:10	Nicaragua	UNKNOWN	REPOSITORY_ONLY:19	CONFIRMED:19	19	ASSEMBLY_ONLY:19	ANTRUM:13;CORPUS:4;GASTRIC_UNSPECIFIED:2	YES
PRJNA601302	37	GC:2;IM:4;NAG:31	Brazil;Canada;Honduras	UNKNOWN	SOURCE_VERIFIED_PARTIAL:37	NONE:37	0	ASSEMBLY_ONLY:37	GASTRIC_UNSPECIFIED:37	NO
PRJNA604073	9	IM:3;NAG:6	Colombia	ILLUMINA_SHORT	CONFLICT:9	NONE:9	0	ENA_FASTQ_LISTED:9	GASTRIC_UNSPECIFIED:9	NO
PRJNA678459	10	AG:5;GC:5	China	ILLUMINA_SHORT	REPOSITORY_ONLY:10	CONFIRMED:10	10	ENA_FASTQ_LISTED:10	CULTURE_ONLY:1;UNKNOWN:9	NO
PRJNA681870	46	AG:1;GC:9;IM:2;NAG:34	Mexico	UNKNOWN	SOURCE_VERIFIED_PARTIAL:46	NONE:46	0	ASSEMBLY_ONLY:46	GASTRIC_UNSPECIFIED:46	NO
PRJNA689207	6	IM:6	Vietnam	ILLUMINA_SHORT	SOURCE_VERIFIED_PARTIAL:6	NONE:6	0	ENA_FASTQ_LISTED:6	GASTRIC_UNSPECIFIED:6	NO
PRJNA690879	67	AG:66;GC:1	China	UNKNOWN	SOURCE_VERIFIED_FULL:67	NONE:67	0	ASSEMBLY_ONLY:67	UNKNOWN:67	NO
PRJNA718481	6	AG:6	China	ILLUMINA_SHORT	REPOSITORY_ONLY:6	NONE:6	0	ENA_FASTQ_LISTED:6	GASTRIC_UNSPECIFIED:6	NO
PRJNA727927	2	GC:2	India	UNKNOWN	SOURCE_VERIFIED_PARTIAL:2	NONE:2	0	ASSEMBLY_ONLY:2	GASTRIC_UNSPECIFIED:2	NO
PRJNA807891	1	GC:1	India	UNKNOWN	REPOSITORY_ONLY:1	NONE:1	0	ASSEMBLY_ONLY:1	UNKNOWN:1	NO
PRJNA816422	42	AG:20;NAG:22	China	ILLUMINA_SHORT;ILLUMINA_SHORT;ONT_LONG	CONFLICT:42	NONE:42	0	ENA_FASTQ_LISTED:42	GASTRIC_UNSPECIFIED:42	NO
PRJNA984677	13	IM:5;NAG:8	Colombia	ILLUMINA_SHORT	SOURCE_VERIFIED_FULL:13	NONE:13	0	ENA_FASTQ_LISTED:13	GASTRIC_UNSPECIFIED:13	NO
