record_type	bioproject	biosample	run_accession	instrument	layout	est_depth_x	read_len_mean	eligible_loci	callable_loci	callable_fraction	callable_high	callable_medium	callable_low	median_spanning_reads	mixed_flag_MIXED	mixture_candidate	known_or_strong_callable
SAMPLE	PRJNA622860	SAMN14531051	SRR11474103	Illumina MiSeq	PAIRED	228.4	256.2	1186	596	0.5025	582	12	2	100.0	2	8	60
SAMPLE	PRJNA622860	SAMN14531052	SRR11474102	Illumina MiSeq	PAIRED	200.6	263.1	1186	606	0.511	595	9	2	89.0	1	14	64
SAMPLE	PRJNA622860	SAMN14531053	SRR11474101	Illumina MiSeq	PAIRED	119.9	267.6	1186	599	0.5051	571	27	1	51	0	12	58
SAMPLE	PRJNA622860	SAMN14531054	SRR11474100	Illumina MiSeq	PAIRED	258.4	131.7	1186	594	0.5008	542	48	4	82.0	0	14	62
SAMPLE	PRJNA622860	SAMN14531055	SRR11474099	Illumina MiSeq	PAIRED	227.6	238.9	1186	604	0.5093	593	10	1	101.0	2	11	61
SAMPLE	PRJNA622860	SAMN14531056	SRR11474098	Illumina MiSeq	PAIRED	253.7	275.2	1186	597	0.5034	593	2	2	119	0	17	62
SAMPLE	PRJNA622860	SAMN14531057	SRR11474097	Illumina MiSeq	PAIRED	90.8	91.6	1185	492	0.4152	317	142	33	24.0	0	5	45
SAMPLE	PRJNA622860	SAMN14531058	SRR11474096	Illumina MiSeq	PAIRED	128.2	152.0	1186	579	0.4882	500	62	17	47	0	12	64
SAMPLE	PRJNA622860	SAMN14531059	SRR11474095	Illumina MiSeq	PAIRED	135.9	255.7	1186	597	0.5034	551	36	10	57	0	11	63
SAMPLE	PRJNA1103397	SAMN41067850	SRR28961350	Illumina NovaSeq 6000	SINGLE	400.1	151.0	1187	526	0.4431	520	5	1	234.5	0	8	44
SAMPLE	PRJNA1103397	SAMN41067851	SRR28961349	Illumina NovaSeq 6000	SINGLE	364.2	150.0	1184	506	0.4274	500	5	1	217.5	2	9	44
SAMPLE	PRJNA1103397	SAMN41067852	SRR28961346	Illumina NovaSeq 6000	SINGLE	273.4	150.0	1188	508	0.4276	505	3	0	156.0	4	5	49
SAMPLE	PRJNA1103397	SAMN41067853	SRR28961345	Illumina NovaSeq 6000	SINGLE	306.2	150.0	1188	507	0.4268	494	11	2	179	5	7	41
SAMPLE	PRJNA1103397	SAMN41067854	SRR28961344	Illumina NovaSeq 6000	SINGLE	298.4	150.0	1186	505	0.4258	502	2	1	168	4	5	37
SAMPLE	PRJNA1103397	SAMN41067855	SRR28961343	Illumina NovaSeq 6000	SINGLE	308.2	150.0	1187	517	0.4356	511	6	0	178	5	6	43
STUDY_SUMMARY	PRJNA622860	39 samples		Illumina MiSeq	PAIRED	168.1	262.8	1196	595	0.5017	578	13	3	70	0	11	61
STUDY_SUMMARY	PRJNA360417	13 samples		Illumina MiSeq	PAIRED	34.7	249.4	1196	486	0.4108	245	208	24	20.0	0	4	42
STUDY_SUMMARY	PRJNA1103397	6 samples		Illumina NovaSeq 6000	SINGLE	307.2	150.0	1196	507.5	0.4275	503.5	5.0	1.0	178.5	4.0	6.5	43.5
